CLE_start,CLE_c1,CLE_c2,CLE_end,DAL_start,DAL_c1,DAL_c2,DAL_end,DEN_start,DEN_c1,DEN_c2,DEN_end,GSW_start,GSW_c1,GSW_c2,GSW_end,HOU_start,HOU_c1,HOU_c2,HOU_end,IND_start,IND_c1,IND_c2,IND_end,LAC_start,LAC_c1,LAC_c2,LAC_end
0.44,0.418,0.352,0.33,0.44,0.418666667,0.354666667,0.333333333,0.46,0.444190476,0.396761905,0.380952381,0.47,0.518857143,0.665428571,0.714285714,0.43,0.410666667,0.352666667,0.333333333,0.4,0.405714286,0.422857143,0.428571429,0.45,0.429230769,0.366923077,0.346153846
0.333333333,0.342857143,0.371428571,0.380952381,0.333333333,0.375238095,0.500952381,0.542857143,0.380952381,0.413333333,0.51047619,0.542857143,0.714285714,0.682066869,0.585410334,0.553191489,0.333333333,0.36,0.44,0.466666667,0.428571429,0.392857143,0.285714286,0.25,0.346153846,0.354474097,0.379434851,0.387755102
0.380952381,0.377489177,0.367099567,0.363636364,0.542857143,0.524608295,0.469861751,0.451612903,0.542857143,0.544630542,0.549950739,0.551724138,0.553191489,0.542553191,0.510638298,0.5,0.466666667,0.454521452,0.418085809,0.405940594,0.25,0.290909091,0.413636364,0.454545455,0.387755102,0.413652357,0.491344124,0.517241379
0.363636364,0.373667712,0.403761755,0.413793103,0.451612903,0.440078201,0.405474096,0.393939394,0.551724138,0.543818335,0.520100925,0.512195122,0.5,0.476363636,0.405454545,0.381818182,0.405940594,0.40960096,0.420582058,0.424242424,0.454545455,0.440719697,0.399242424,0.385416667,0.517241379,0.516918103,0.515948276,0.515625
0.413793103,0.411034483,0.402758621,0.4,0.393939394,0.416969697,0.486060606,0.509090909,0.512195122,0.516798351,0.530608038,0.535211268,0.381818182,0.414315305,0.511806674,0.544303797,0.424242424,0.453679654,0.541991342,0.571428571,0.385416667,0.391260163,0.40879065,0.414634146,0.515625,0.5125,0.503125,0.5
0.4,0.426666667,0.506666667,0.533333333,0.509090909,0.482948403,0.404520885,0.378378378,0.535211268,0.53325376,0.527381237,0.525423729,0.544303797,0.571157324,0.651717902,0.678571429,0.571428571,0.54047619,0.447619048,0.416666667,0.414634146,0.422616408,0.446563193,0.454545455,0.5,0.495774648,0.483098592,0.478873239
0.533333333,0.517575758,0.47030303,0.454545455,0.378378378,0.387551188,0.415069615,0.424242424,0.525423729,0.530198138,0.544521365,0.549295775,0.678571429,0.641622575,0.530776014,0.49382716,0.416666667,0.423655914,0.444623656,0.451612903,0.454545455,0.433403805,0.369978858,0.348837209,0.478873239,0.473098592,0.455774648,0.45
0.454545455,0.463636364,0.490909091,0.5,0.424242424,0.404099822,0.343672014,0.323529412,0.549295775,0.528325509,0.46541471,0.444444444,0.49382716,0.509815827,0.557781826,0.573770492,0.451612903,0.439372514,0.402651348,0.390410959,0.348837209,0.359069767,0.389767442,0.4,0.45,0.465084746,0.510338983,0.525423729
0.5,0.473684211,0.394736842,0.368421053,0.323529412,0.367684289,0.50014892,0.544303797,0.444444444,0.439930556,0.426388889,0.421875,0.573770492,0.514188807,0.335443754,0.275862069,0.390410959,0.380253295,0.349780305,0.339622642,0.4,0.4075,0.43,0.4375,0.525423729,0.517113177,0.49218152,0.483870968
0.368421053,0.381693364,0.421510297,0.434782609,0.544303797,0.524331927,0.464416315,0.444444444,0.421875,0.431944444,0.462152778,0.472222222,0.275862069,0.300207727,0.373244703,0.397590361,0.339622642,0.371698113,0.467924528,0.5,0.4375,0.416666667,0.354166667,0.333333333,0.483870968,0.479253637,0.465401645,0.460784314
